symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
GOOG,10,-10,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-9,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-8,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-7,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-6,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-5,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-4,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-3,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-2,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,-1,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,0,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,1,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,2,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,3,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,4,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,5,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,6,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,7,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,8,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,9,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
GOOG,10,10,0.001,0.0,0.0,,1.5248,0.0,0.0,0.0,5.0,0.0,0.0,-0.446
